neighborhood,Area_in_acres
Allegheny Center,134.4
Allegheny West,90.2
Allentown,188.8
Arlington,300.8
Arlington Heights,84.5
Banksville,620.2
Bedford Dwellings,114.6
Beechview,934.4
Beltzhoover,269.4
Bloomfield,449.3
Bluff,209.3
Bon Air,200.3
Brighton Heights,714.9
Brookline,1332.5
California-Kirkbride,138.9
Carrick,1070.7
Central Business District,409.6
Central Lawrenceville,616.3
Central Northside,165.8
Central Oakland,179.8
Chartiers City,84.5
Chateau,245.1
Crafton Heights,482.6
Crawford-Roberts,165.1
Duquesne Heights,398.7
East Allegheny,151
East Carnegie,276.5
East Hills,346.2
East Liberty,371.8
Elliott,387.8
Esplen,147.2
Fairywood,620.2
Fineview,160
Friendship,67.8
Garfield,292.5
Glen Hazel,291.8
Greenfield,494.7
Hays,1120
Hazelwood,1013.1
Highland Park,744.3
Homewood North,277.8
Homewood South,254.7
Homewood West,127.4
Knoxville,193.3
Larimer,284.8
Lincoln Place,629.8
Lincoln-Lemington-Belmar,1159.7
Lower Lawrenceville,275.2
Manchester,178.6
Marshall-Shadeland,802.6
Middle Hill,195.2
Morningside,244.5
Mount Washington,729.6
Mt. Oliver,64
New Homestead,508.2
North Oakland,319.4
North Shore,193.9
Northview Heights,200.3
Oakwood,161.3
Overbrook,537
Perry North,775.7
Perry South,579.2
Point Breeze,642.6
Point Breeze North,183
Polish Hill,163.2
Regent Square,122.9
Ridgemont,236.2
Shadyside,589.4
Sheraden,569.6
South Oakland,325.1
South Shore,135.7
South Side Flats,599
South Side Slopes,458.2
Spring Garden,176
Spring Hill-City View,403.2
Squirrel Hill North,782.1
Squirrel Hill South,1709.4
St. Clair,198.4
Stanton Heights,470.4
Strip District,389.1
Summer Hill,281
Swisshelm Park,307.2
Terrace Village,218.9
Troy Hill,294.4
Upper Hill,200.3
Upper Lawrenceville,259.2
West End,128
West Oakland,137.6
Westwood,442.9
Windgap,265.6